marble_ID,relative_path,created,last_updated
CLIMATE-CHANGE-A,../_mms-md/CLIMATE-CHANGE-A.md,10/9/23,9/20/24
MESH-CAP-MEDIA,../_mms-md/MESH-CAP-MEDIA.md,2/7/24,9/20/24
SMALLBUSINESS-RENT,../_mms-md/SMALLBUSINESS-RENT.md,9/18/23,9/20/24
SYSTEMS-THINKING-10Tools-for-a-zero-carbon-world,../_mms-md/SYSTEMS-THINKING-10Tools-for-a-zero-carbon-world.md,11/5/24,11/15/24
PROBLEMS-B,../_mms-md/PROBLEMS-B.md,2/26/24,9/20/24
MMSFinanceVisual,../_mms-md/MMSFinanceVisual.md,9/17/23,11/15/24
CERT-ORG,../_mms-md/CERT-ORG.md,11/9/23,9/20/24
KNOWLEDGE-ORGANIZATION-A,../_mms-md/KNOWLEDGE-ORGANIZATION-A.md,10/19/23,9/20/24
SOMATIC-HEAL-WHITENESS,../_mms-md/SOMATIC-HEAL-WHITENESS.md,10/5/23,9/21/24
ENG-WAR,../_mms-md/ENG-WAR.md,10/10/23,9/20/24
CIRCULAR-ECON-C,../_mms-md/CIRCULAR-ECON-C.md,11/8/23,9/20/24
IPCC-TRANSITION,../_mms-md/IPCC-TRANSITION.md,9/8/23,9/20/24
MMSEconomicDemocracy,../_mms-md/MMSEconomicDemocracy.md,11/26/24,11/28/24
SOLAR-ENERGY-A,../_mms-md/SOLAR-ENERGY-A.md,10/11/23,9/20/24
CO-CREATIVE-ECONOMY-A,../_mms-md/CO-CREATIVE-ECONOMY-A.md,2/18/24,10/14/24
MESH-CAP-I,../_mms-md/MESH-CAP-I.md,1/30/24,9/20/24
INTO-PERSPECTIVE,../_mms-md/INTO-PERSPECTIVE.md,8/7/24,9/20/24
MMSHealthAutopoiesis,../_mms-md/MMSHealthAutopoiesis.md,1/19/24,9/20/24
CAPABILITIES-FOR-LIFE-FRAMEWORK,../_mms-md/CAPABILITIES-FOR-LIFE-FRAMEWORK.md,7/11/24,9/20/24
